cik
A,1090872
AA,1675149
AAAU,1708646
AAC,1829432
AAC-UN,1829432
AAC-WT,1829432
AACE,1848084
AACG,1420529
AACI,1844817
AACIU,1844817
AACIW,1844817
AACO,1843825
AACP,1822365
AADI,1422142
AAGH,1098009
AAGR,1884334
AAIC,1209028
AAIC-PB,1209028
AAIC-PC,1209028
AAIDX,1754927
AAIN,1209028
AAL,6201
AAM-PA,1411494
AAM-PB,1411494
AAMC,1555074
AAME,8177
AAN,1821393
AAOI,1158114
AAON,824142
AAP,1158449
AAPL,320193
AAQC,1838883
AAQC-UN,1838883
AAQC-WT,1838883
AASP,930245
AAT,1500217
AATC,943034
AATP,1713210
AATRL,1004434
AAU,1015647
AAWH,1756390
AAWW,1135185
AB,825313
ABB,1091587
ABBV,1551152
ABC,1140859
ABCB,351569
ABCE,1300938
ABCFF,1284237
ABCL,1703057
ABCM,1492074
ABCP,20639
ABCZF,1492074
ABEO,318306
ABEV,1565025
ABG,1144980
ABGI,1833764
ABILF,1652866
ABIO,907654
ABIT,1095146
ABLZF,1091587
ABM,771497
ABMC,896747
ABMD,815094
ABML,1576873
ABMT,1385799
ABNB,1559720
ABOS,1576885
ABQQ,1605331
ABR,1253986
ABR-PD,1253986
ABR-PE,1253986
ABR-PF,1253986
ABSI,1672688
ABST,1071058
ABT,1800
ABTI,1442999
ABTX,1642081
ABUS,1447028
ABVC,1173313
ABWN,1537258
AC,1642122
ACA,1739445
ACAB,1893219
ACABU,1893219
ACABW,1893219
ACAD,1070494
ACAH,1836274
ACAHU,1836274
ACAHW,1836274
ACAM,1846125
ACAN,1508348
ACAQ,1869141
ACAQ-UN,1869141
ACAQ-WT,1869141
ACAX,1897245
ACAXR,1897245
ACAXU,1897245
ACAXW,1897245
ACB,1683541
ACBA,1844389
ACBAU,1844389
ACBAW,1844389
ACBI,1461755
ACBM,1622996
ACC,1283630
ACCA,1001463
ACCD,1481646
ACCO,712034
ACCR,1041588
ACCV,1847499
ACCYY,1049183
ACDI,1850316
ACDI-UN,1850316
ACDI-WT,1850316
ACEL,1698991
ACER,1069308
ACET,1720580
ACEV,1813658
ACEVU,1813658
ACEVW,1813658
ACFN,880984
ACGL,947484
ACGLN,947484
ACGLO,947484
ACH,1161611
ACHC,1520697
ACHL,1830749
ACHN,1672571
ACHR,1824502
ACHR-WT,1824502
ACHV,949858
ACI,1646972
ACII,1838614
ACII-UN,1838614
ACII-WT,1838614
ACIU,1651625
ACIW,935036
ACKIT,1790121
ACKIU,1790121
ACKIW,1790121
ACLHF,1871737
ACLS,1113232
ACLX,1786205
ACM,868857
ACMB,1598323
ACMC,934543
ACMR,1680062
ACMSY,1850767
ACN,1467373
ACNB,715579
ACON,1635077
ACOR,1008848
ACP,1503290
ACP-PA,1503290
ACQR,1837393
ACQRU,1837393
ACQRW,1837393
ACR,1332551
ACR-PC,1332551
ACR-PD,1332551
ACRDF,1762359
ACRE,1529377
ACRFF,1049183
ACRHF,1762359
ACRO,1847891
ACRO-UN,1847891
ACRO-WT,1847891
ACRS,1557746
ACRU,1407573
ACRX,1427925
ACST,1444192
ACT,1823529
ACTD,1842279
ACTDU,1842279
ACTDW,1842279
ACTG,934549
ACTX,1096950
ACU,2098
ACUR,786947
ACUT,1850767
ACV,1636289
ACVA,1637873
ACXP,1736243
ACY,1036848
ADAD,1593204
ADAG,1818838
ADAL,1853928
ADALU,1853928
ADALW,1853928
ADAP,1621227
ADBCF,1641427
ADBE,796343
ADC,917251
ADC-PA,917251
ADCT,1771910
ADER,1822912
ADERU,1822912
ADERW,1822912
ADES,1515156
ADEX,1830029
ADEX-UN,1830029
ADEX-WT,1830029
ADGI,1832038
ADGO,869531
ADI,6281
ADIL,1513525
ADILW,1513525
ADLDY,1641427
ADM,7084
ADMA,1368514
ADMG,1171008
ADMP,887247
ADMQ,1588014
ADMT,849401
ADN,1744494
ADNT,1670541
ADNWW,1744494
ADOC,1824884
ADOCR,1824884
ADOCW,1824884
ADOOY,1489079
ADP,8670
ADPT,1478320
ADRA,1823584
ADRA-UN,1823584
ADRA-WT,1823584
ADRE,1169717
ADRT,1864032
ADRT-UN,1864032
ADRT-WT,1864032
ADRU,1169717
ADRZF,1436467
ADRZY,1436467
ADS,1101215
ADSE,1879248
ADSEW,1879248
ADSK,769397
ADT,1703056
ADTH,1838672
ADTHW,1838672
ADTN,926282
ADTX,1726711
ADUS,1468328
ADV,1776661
ADVM,1501756
ADVV,1698519
ADVWW,1776661
ADX,2230
ADXN,1574232
ADXS,1100397
ADYX,1054274
AE,2178
AEAC,1827392
AEACU,1827392
AEACW,1827392
AEAE,1852016
AEAEU,1852016
AEAEW,1852016
AEE,1002910
AEF,846676
AEFC,769218
AEG,769218
AEGG,843212
AEGOF,769218
AEHA,1869974
AEHAU,1869974
AEHAW,1869974
AEHL,1470683
AEHR,1040470
AEI,1750106
AEIB,1875655
AEIS,927003
AEL,1039828
AEL-PA,1039828
AEL-PB,1039828
AEM,2809
AEMD,882291
AEMMF,1437776
AEMMY,1437776
AENZ,1572621
AEO,919012
AEP,4904
AEPPZ,4904
AER,1378789
AERC,1872356
AERG,879911
AERI,1337553
AES,874761
AESC,874761
AESE,1708341
AEVA,1789029
AEVA-WT,1789029
AEY,874292
AEYE,1362190
AEZS,1113423
AFAC,1849489
AFACU,1849489
AFAQ,1841661
AFAQU,1841661
AFAQW,1841661
AFAR,1901886
AFB,1162027
AFBI,1823406
AFCG,1822523
AFDG,1486297
AFFG,1469038
AFG,1042046
AFGB,1042046
AFGC,1042046
AFGD,1042046
AFGE,1042046
AFHBQ,1539894
AFHIQ,1539894
AFI,1655075
AFIB,1522860
AFL,4977
AFMD,1608390
AFOM,1286459
AFPW,1108046
AFRI,1903870
AFRM,1820953
AFT,1502573
AFTR,1865975
AFTR-UN,1865975
AFTR-WT,1865975
AFTX,1792694
AFYA,1771007
AG,1308648
AGAC,1833909
AGAC-UN,1833909
AGAC-WT,1833909
AGBA,1769624
AGBAR,1769624
AGBAW,1769624
AGCB,1830232
AGCO,880266
AGD,1362481
AGDX,1601563
AGE,1708599
AGEN,1098972
AGFS,1592016
AGFY,1800637
AGGG,1691906
AGGL,1481585
AGGR,1842329
AGGRU,1842329
AGGRW,1842329
AGGX,1085596
AGHC,885074
AGI,1178819
AGIL,1790625
AGILW,1790625
AGIO,1439222
AGL,1831097
AGLE,1636282
AGM,845877
AGM-A,845877
AGM-PC,845877
AGM-PD,845877
AGM-PE,845877
AGM-PF,845877
AGM-PG,845877
AGMH,1705402
AGNC,1423689
AGNCM,1423689
AGNCN,1423689
AGNCO,1423689
AGNCP,1423689
AGNPF,1642178
AGO,1273813
AGQ,1415311
AGQPF,1174169
AGR,1634997
AGRI,1826397
AGRIW,1826397
AGRO,1499505
AGRX,1261249
AGS,1593548
AGTC,1273636
AGTI,1749704
AGTK,1040850
AGTX,1603345
AGX,100591
AGXPF,1482436
AGYS,78749
AHCO,1725255
AHFD,1477472
AHG,1702318
AHH,1569187
AHH-PA,1569187
AHI,1815436
AHIX,747435
AHL-PC,1267395
AHL-PD,1267395
AHL-PE,1267395
AHNR,1304409
AHPA,1846253
AHPAU,1846253
AHPAW,1846253
AHPI,874710
AHRN,1856696
AHRNU,1856696
AHRNW,1856696
AHT,1232582
AHT-PD,1232582
AHT-PF,1232582
AHT-PG,1232582
AHT-PH,1232582
AHT-PI,1232582
AI,1577526
AIAD,743758
AIB,1882963
AIBBR,1882963
AIBBU,1882963
AIC,1209028
AIDG,1702015
AIF,1526697
AIG,5272
AIG-PA,5272
AIH,1757143
AIHS,1711012
AIKI,12239
AIKO,1405660
AILIH,18654
AILIN,18654
AILIO,18654
AILLN,18654
AILLP,18654
AIM,946644
AIMA,1903464
AIMC,1374535
AIMD,1014763
AIN,819793
AINC,1604738
AINV,1278752
AIO,1778114
AIP,1667011
AIR,1750
AIRC,1820877
AIRG,1272842
AIRI,1009891
AIRRF,1476573
AIRS,1870940
AIRT,353184
AIT,109563
AITA,1527675
AITX,1498148
AIV,922864
AIVI,1471302
AIZ,1267238
AIZN,1267238
AJG,354190
AJRD,40888
AJX,1614806
AJXA,1614806
AKA,1865107
AKAM,1086222
AKAN,1888014
AKBA,1517022
AKIC,1826574
AKICU,1826574
AKICW,1826574
AKO-A,925261
AKO-B,925261
AKOM,1590496
AKR,899629
AKRO,1744659
AKTS,1584754
AKTX,1541157
AKU,1776197
AKUS,1722271
AKYA,1711933
AL,1487712
AL-PA,1487712
ALAC,1748621
ALACR,1748621
ALACW,1748621
ALB,915913
ALBKF,902102
ALBKY,902102
ALBO,1322505
ALC,1167379
ALCC,1849056
ALCO,3545
ALDA,1062506
ALDS,1755101
ALDX,1341235
ALE,66756
ALEAF,1754664
ALEC,1653087
ALEDY,1508668
ALEF,1887389
ALEX,1545654
ALF,1833908
ALFIW,1833908
ALG,897077
ALGM,866291
ALGN,1097149
ALGS,1799448
ALGT,1362468
ALHC,1832466
ALID,1575295
ALIM,1267602
ALIN-PA,1382298
ALIN-PB,1382298
ALIN-PE,1382298
ALIT,1809104
ALJJ,1438731
ALK,766421
ALKM,1522165
ALKS,1520262
ALKT,1529274
ALL,899051
ALL-PB,899051
ALL-PG,899051
ALL-PH,899051
ALL-PI,899051
ALLE,1579241
ALLG,1874474
ALLG-WT,1874474
ALLK,1564824
ALLO,1737287
ALLR,1860657
ALLT,1365767
ALLY,40729
ALMMF,1161611
ALNA,1624658
ALNY,1178670
ALOHA,1862733
ALOR,1883962
ALORU,1883962
ALORW,1883962
ALOT,8146
ALP-PQ,3153
ALPA,1842939
ALPAU,1842939
ALPAW,1842939
ALPC,1616736
ALPE,1023298
ALPN,1626199
ALPP,1606698
ALR,1159281
ALRM,1459200
ALRN,1420565
ALRS,903419
ALRT,1087022
ALSA,1865111
ALSAR,1865111
ALSAU,1865111
ALSAW,1865111
ALSMY,1062066
ALSN,1411207
ALT,1326190
ALTB,1642365
ALTD,1664127
ALTE,1842428
ALTG,1759824
ALTG-PA,1759824
ALTGF,1695519
ALTO,778164
ALTP,1845136
ALTR,1701732
ALTT,1843079
ALTU,1822366
ALTUU,1822366
ALTUW,1822366
ALTX,775057
ALV,1034670
ALVO,1898416
ALVR,1754068
ALX,3499
ALXEF,1603519
ALXO,1810182
ALYA,1734520
ALYE,946822
ALZN,1677077
AM,1623925
AMAL,1823608
AMAM,1836056
AMAO,1843656
AMAOU,1843656
AMAOW,1843656
AMAT,6951
AMAZ,1375618
AMBA,1280263
AMBC,874501
AMBC-WT,874501
AMBO,1494558
AMBP,1845097
AMBP-WT,1845097
AMC,1411579
AMCCF,1748790
AMCI,1843724
AMCIU,1843724
AMCIW,1843724
AMCR,1748790
AMCT,1626556
AMCX,1514991
AMD,2488
AME,1037868
AMED,896262
AMEH,1083446
AMG,1004434
AMGN,318154
AMH,1562401
AMH-PF,1562401
AMH-PG,1562401
AMH-PH,1562401
AMHG,1805024
AMIH,1300524
AMJ,19617
AMK,1591587
AMKR,1047127
AMLH,1124197
AMLX,1658551
AMMJ,945617
AMMX,1776048
AMN,1142750
AMNA,1114446
AMNB,741516
AMND,1114446
AMNL,8328
AMOT,46129
AMOV,1129137
AMOVF,1129137
AMP,820027
AMPE,1411906
AMPG,1518461
AMPGW,1518461
AMPH,1297184
AMPI,1835636
AMPI-UN,1835636
AMPI-WT,1835636
AMPL,1866692
AMPS,1828723
AMPS-WT,1828723
AMPY,1533924
AMR,1704715
AMRC,1488139
AMRK,1591588
AMRN,897448
AMRR,1488638
AMRS,1365916
AMRX,1723128
AMS,744825
AMSC,880807
AMSF,1018979
AMSIY,1243429
AMST,1807166
AMSU,1142801
AMSWA,713425
AMSYF,1243429
AMT,1053507
AMTB,1734342
AMTD,1769731
AMTI,1801777
AMTR,1114446
AMTX,738214
AMTY,945828
AMUB,1114446
AMWD,794619
AMWL,1393584
AMX,1129137
AMXVF,1129137
AMYT,1783010
AMZN,1018724
AN,350698
ANAB,1370053
ANAC,1829558
ANAC-UN,1829558
ANAC-WT,1829558
ANAT,1801075
ANAV,1491829
ANDE,821026
ANDR,6494
ANEB,1815974
ANET,1596532
ANF,1018840
ANFIF,1552448
ANGH,1871983
ANGHW,1871983
ANGI,1705110
ANGN,1601485
ANGO,1275187
ANIK,898437
ANIP,1023024
ANIX,715446
ANLDF,1519469
ANNSF,1700171
ANNX,1528115
ANPC,1786511
ANPCF,1620678
ANPCY,1620678
ANSS,1013462
ANSU,1168663
ANTE,1413745
ANTM,1156039
ANTX,1880438
ANVI,1570132
ANVS,1477845
ANY,1591956
ANYYY,1700171
ANZU,1840877
ANZUU,1840877
ANZUW,1840877
AOD,1379400
AOGO,1881741
AOGOU,1881741
AOGOW,1881741
AOIX,1544400
AOIXD,1544400
AOMFF,1062066
AOMR,1766478
AON,315293
AORT,784199
AOS,91142
AOSL,1387467
AOUT,1808997
AOXY,352991
AP,6176
AP-WT,6176
APA,1841666
APAC,1844981
APACU,1844981
APACW,1844981
APAM,1517302
APCA,1862993
APCA-UN,1862993
APCA-WT,1862993
APCX,1070050
APCXW,1070050
APD,2969
APDN,744452
APEI,1201792
APELF,900278
APELY,900278
APEN,1251769
APG,1796209
APGB,1838337
APGB-UN,1838337
APGB-WT,1838337
APGC,1840632
APGT,1353538
APH,820313
APHE,855787
API,1802883
APLD,1144879
APLE,1418121
APLS,1492422
APLT,1697532
APM,1734005
APMI,1857662
APMIU,1857662
APMIW,1857662
APN,1849011
APN-UN,1849011
APN-WT,1849011
APO,1858681
APOA,1862462
APOG,6845
APP,1751008
APPB,1607549
APPF,1433195
APPH,1807707
APPHW,1807707
APPN,1441683
APPS,317788
APR,1735803
APRCP,3153
APRDM,3153
APRDO,3153
APRE,1781983
APRN,1701114
APSG,1820872
APSG-UN,1820872
APSG-WT,1820872
APSI,1553264
APT,884269
APTM,1845550
APTMU,1845550
APTMW,1845550
APTO,882361
APTS,1481832
APTV,1521332
APTV-PA,1521332
APTX,1674365
APVO,1671584
APWC,1026980
APXB,1843569
APXI,1868573
APXIU,1868573
APXIW,1868573
APXX,1653710
APYPD,1568969
APYX,719135
AQB,1603978
AQMS,1621832
AQN,1174169
AQNA,1174169
AQNB,1174169
AQNU,1174169
AQST,1398733
AQUA,1604643
AQUB,1863974
AQUI,1863976
AR,1433270
ARAC,1853864
ARAO,1083922
ARAT,1566243
ARAV,1513818
ARAY,1138723
ARBE,1861841
ARBEW,1861841
ARBG,1823826
ARBGU,1823826
ARBGW,1823826
ARBK,1841675
ARBKF,1841675
ARBKL,1841675
ARC,1305168
ARCB,894405
ARCC,1287750
ARCE,1740594
ARCH,1037676
ARCK,1855886
ARCKU,1855886
ARCKW,1855886
ARCO,1508478
ARCT,1768224
ARCW,826326
ARCXF,1243429
ARDC,1515324
ARDS,1614067
ARDX,1437402
ARE,1035443
AREB,1648087
AREBW,1648087
AREC,1590715
ARECW,1590715
AREN,894871
ARES,1176948
ARGC,1698702
ARGD,1091748
ARGO,1091748
ARGO-PA,1091748
ARGQ,1533106
ARGU,1865377
ARGUU,1865377
ARGUW,1865377
ARGX,1697862
ARHS,1875444
ARI,1467760
ARIS,1865187
ARIZ,1882078
ARIZR,1882078
ARIZU,1882078
ARIZW,1882078
